# https://www.cs.virginia.edu/stream/by_date/Balance.html
# Balance is Peak MFLOPS divided by Triad Bandwidth in MW/s
# ------------------------------------------------------------------------------
# Submission  System                                   Peak       BW     Machine
# Date        Machine ID                      ncpus   MFLOPS    (MW/s)   Balance
# ------------------------------------------------------------------------------
2005.09.28  HP_ProLiant_DL140G2                1     7600.0    500.6     15.2 data
2005.09.28  HP_ProLiant_BL20pG3                1     7600.0    487.5     15.6 data
2005.09.28  HP_ProLiant_ML350_G4p              1     7200.0    496.1     14.5 data
2005.09.28  HP_ProLiant_DL140G2                1     7200.0    489.4     14.7 data
2005.09.28  HP_ProLiant_BL20pG3                1     7200.0    486.8     14.8 data
2005.08.09  IBM_eServer_p5-575                16    96000.0   6983.9     13.7 data
2005.08.09  IBM_eServer_p5-575                16    96000.0   5329.0     18.0 data
2005.07.08  Rackable_C2004                     1     6000.0    406.8     14.8 data
2005.06.06  HP_ProLiant_DL585                  8    35200.0   2032.0     17.3 data
2005.06.06  HP_ProLiant_BL45p                  8    35200.0   2011.2     17.5 data
2005.06.06  HP_ProLiant_DL585                  4    20800.0   2154.2      9.7 data
2005.06.06  HP_ProLiant_BL45p                  4    20800.0   2165.2      9.6 data
2005.05.09  Tyan-2882_K8S                      1     4000.0    542.5      7.4 data
2005.04.11  ASUS_Athlon64_K8Vdeluxe            1     4800.0    265.8     18.1 data
2005.03.11  IBM_eServer_p5-550_Express         4    24000.0   1124.8     21.3 data
2005.03.11  IBM_eServer_p5-550_Express         4    24000.0    976.9     24.6 data
2005.02.24  IBM_eServer_p5-575                 8    60800.0   6966.6      8.7 data
2005.02.24  IBM_eServer_p5-575                 8    60800.0   5198.1     11.7 data
2005.02.14  HP_ProLiant_ML370                  1     7200.0    447.2     16.1 data
2005.02.14  HP_ProLiant_DL585                  4    20800.0   1820.4     11.4 data
2005.02.14  HP_ProLiant_DL385                  2    10400.0   1030.9     10.1 data
2005.02.14  HP_ProLiant_BL35p                  2     9600.0   1132.8      8.5 data
2005.02.14  HP_ProLiant_BL25p                  2    10400.0   1083.9      9.6 data
2005.02.11  IBM_eServer_OpenPower_710          2    13200.0    553.4     23.9 data
2005.02.11  IBM_eServer_OpenPower_710          2    13200.0    493.6     26.7 data
2005.02.04  ASUS_SK8N_Opteron248               1     4400.0    585.2      7.5 data
2005.02.04  AMD_Opteron_848                    4    17600.0   1990.1      8.8 data
2005.02.04  AMD_Opteron_848                    2     8800.0   1082.6      8.1 data
2005.02.04  AMD_Opteron_848                    1     4400.0    550.2      8.0 data
2005.01.18  HP_ProLiant_BL30p                  1     6400.0    251.8     25.4 data
2005.01.16  Apple_PwrMac_G5                    1    10000.0    276.9     36.1 data
2004.12.22  SGI_Altix_3700_Bx2               512  3276800.0 139989.1     23.4 data
2004.12.17  HP_ProLiant_DL145                  2     9600.0    691.8     13.9 data
2004.12.17  HP_ProLiant_DL585                  4    19200.0   1404.1     13.7 data
2004.12.11  ASUS_A7N8X-E                       1     4334.0    201.6     21.5 data
2004.12.10  HP_ProLiant_BL20pG3                1     7200.0    465.5     15.5 data
2004.12.10  HP_ProLiant_DL360G4                1     7200.0    428.2     16.8 data
2004.11.08  HP_Integrity_rx4640                1     6400.0    492.4     13.0 data
2004.11.08  HP_Integrity_rx2620                1     6400.0    504.2     12.7 data
2004.11.08  HP_Integrity_rx1620                1     6400.0    628.9     10.2 data
2004.11.02  IBM_eServer_p5-595                64   486400.0  21820.9     22.3 data
2004.11.02  IBM_eServer_p5-595                64   486400.0  21695.5     22.4 data
2004.10.21  Sun_SunFire_V210                   1     2000.0    113.1     17.7 data
2004.10.04  IBM_eServer_p5-550_Express         4    24000.0   1157.5     20.7 data
2004.10.04  IBM_eServer_p5-550_Express         4    24000.0   1051.9     22.8 data
2004.10.04  IBM_eServer_p5-520_Express         2    12000.0    670.0     17.9 data
2004.10.04  IBM_eServer_p5-520_Express         2    12000.0    608.0     19.7 data
2004.09.12  IBM_eServer_OpenPower_720          4    26400.0   1100.2     24.0 data
2004.09.12  IBM_eServer_OpenPower_720          4    26400.0    941.5     28.0 data
2004.08.11  HP_AlphaServer_GS1280-1300        64   166400.0  53931.2      3.1 data
2004.08.10  ASUS_SK8N_Opteron248               1     4400.0    557.2      7.9 data
2004.07.13  IBM_eServer_p5-570                16   121600.0   5648.4     21.5 data
2004.07.13  IBM_eServer_p5-570                16   121600.0   5530.1     22.0 data
2004.07.13  IBM_eServer_p5-570                 8    60800.0   5379.6     11.3 data
2004.07.13  IBM_eServer_p5-570                 8    60800.0   4491.8     13.5 data
2004.07.13  IBM_eServer_p5-570                 4    30400.0   3276.8      9.3 data
2004.07.13  IBM_eServer_p5-570                 4    30400.0   2406.2     12.6 data
2004.07.13  IBM_eServer_p5-550                 4    26400.0   1123.2     23.5 data
2004.07.13  IBM_eServer_p5-550                 4    26400.0   1025.1     25.8 data
2004.07.13  IBM_eServer_p5-520                 2    13200.0    563.8     23.4 data
2004.07.13  IBM_eServer_p5-520                 2    13200.0    534.4     24.7 data
2004.07.02  Apple_PwrMac_G5                    1     8000.0    315.8     25.3 data
2004.06.18  HP_AlphaServer_GS1280-1300         8    20800.0   7188.2      2.9 data
2004.06.18  HP_AlphaServer_GS1280-1300         4    10400.0   3591.4      2.9 data
2004.06.18  HP_AlphaServer_GS1280-1300        32    83200.0  28048.8      3.0 data
2004.06.18  HP_AlphaServer_GS1280-1300         2     5200.0   1797.0      2.9 data
2004.06.18  HP_AlphaServer_GS1280-1300        16    41600.0  14314.2      2.9 data
2004.06.18  HP_AlphaServer_GS1280-1300         1     2600.0    901.2      2.9 data
2004.06.18  HP_AlphaServer_ES80-1150           8    18400.0   6216.1      3.0 data
2004.06.18  HP_AlphaServer_ES80-1150           4     9200.0   3088.0      3.0 data
2004.06.18  HP_AlphaServer_ES80-1150           2     4600.0   1579.8      2.9 data
2004.06.18  HP_AlphaServer_ES80-1150           1     2300.0    788.4      2.9 data
2004.06.18  HP_AlphaServer_ES47-1150           4     9200.0   3088.0      3.0 data
2004.06.18  HP_AlphaServer_ES47-1150           2     4600.0   1579.8      2.9 data
2004.06.18  HP_AlphaServer_ES47-1150           1     2300.0    788.4      2.9 data
2004.06.17  HP_AlphaServer_DS15                1     2000.0    192.4     10.4 data
2004.06.15  ASUS_Opteron_PathScale             1     4400.0    569.4      7.7 data
2004.05.11  SGI_Altix_3700                    16    83200.0   3977.2     20.9 data
2004.05.07  Dell_PowerEdge400SC                1     4800.0    394.8     12.2 data
2004.04.30  HP_Integrity_SuperDome_8cell      32   192000.0   5266.9     36.5 data
2004.04.30  HP_Integrity_SuperDome_8cell      16    96000.0   5142.9     18.7 data
2004.04.30  HP_Integrity_SuperDome_4cell      16    96000.0   2631.6     36.5 data
2004.04.30  HP_Integrity_SuperDome_16cell     64   384000.0  10506.1     36.6 data
2004.04.30  HP_Integrity_SuperDome_16cell     32   192000.0  10294.1     18.7 data
2004.04.28  HP_A520N                           1     2200.0    167.9     13.1 data
2004.03.28  Apple_PwrBook_G4-1330              1     2660.0    114.6     23.2 data
2004.03.28  Apple_PwrBook_G4-1330              1     2660.0     74.6     35.7 data
2004.02.27  SGI_Altix_350                     16    89600.0   3961.7     22.6 data
2004.02.20  Sun_F25K-1050-72chip             144   302400.0   9512.2     31.8 data
2004.02.20  Sun_F25K-1050-64chip             128   268800.0   8313.3     32.3 data
2004.02.20  Sun_F25K-1050-48chip              96   201600.0   6100.8     33.0 data
2004.02.20  Sun_F25K-1050-36chip              72   151200.0   4474.1     33.8 data
2004.02.20  Sun_F25K-1050-32chip              64   134400.0   3913.2     34.3 data
2004.02.20  Sun_F25K-1050-24chip              48   100800.0   2883.0     35.0 data
2004.02.20  Sun_F25K-1050-12chip              24    50400.0   1453.9     34.7 data
2004.02.10  HP_9000_Superdome_8cell           64   256000.0   1979.9    129.3 data
2004.02.10  HP_9000_Superdome_16cell          64   256000.0   3820.0     67.0 data
2004.02.10  HP_rp7420-16_2cell                 8    32000.0   1086.1     29.5 data
2004.02.10  HP_rp7420-16_2cell                16    64000.0   1101.1     58.1 data
2004.02.10  HP_rp7420-16_1cell                 8    32000.0    637.2     50.2 data
2004.02.10  HP_rp8420-32_4cell                32   128000.0   1330.1     96.2 data
2004.02.10  HP_rp8420-32_4cell                16    64000.0   1337.5     47.9 data
2004.02.10  HP_rp8420-32_2cell                16    64000.0   1049.4     61.0 data
2004.01.26  IBM_eServer_p655++_8p              8    54400.0   1892.6     28.7 data
2004.01.11  Apple_PwrMac_G5                    2    16000.0    257.4     62.2 data
2004.01.11  Apple_PwrMac_G5                    1     8000.0    220.5     36.3 data
2003.12.04  AMD_Opteron_246                    1     4000.0    276.2     14.5 data
2003.12.04  AMD_Opteron_248                    2     8800.0    750.3     11.7 data
2003.12.04  AMD_Opteron_248                    1     4400.0    393.0     11.2 data
2003.12.04  AMD_Opteron_244                    2     7200.0    569.4     12.6 data
2003.12.04  AMD_Opteron_244                    1     3600.0    295.3     12.2 data
2003.11.26  Intel_875_P4_2.80                  1     5600.0    339.4     16.5 data
2003.11.13  SGI_Altix_3000                   512  3072000.0 125978.5     24.4 data
2003.11.05  Cray_X1                            4    51200.0  10556.9      4.8 data
2003.11.05  Cray_X1                            1    12800.0   3002.9      4.3 data
2003.11.03  HP_Integrity_rx8620               16    96000.0   2563.9     37.4 data
2003.11.03  HP_Integrity_rx7620                8    48000.0   1285.4     37.3 data
2003.11.03  HP_Integrity_rx7620                4    24000.0    643.6     37.3 data
2003.10.02  NEC_SX-7                           8    70604.8  34780.6      2.0 data
2003.10.02  NEC_SX-7                           4    35302.4  17548.1      2.0 data
2003.10.02  NEC_SX-7                          32   282419.2 109032.4      2.6 data
2003.10.02  NEC_SX-7                           2    17651.2   8821.6      2.0 data
2003.10.02  NEC_SX-7                          16   141209.6  68573.2      2.1 data
2003.10.02  NEC_SX-7                           1     8825.6   4415.9      2.0 data
2003.09.29  SGI_Altix_3000                   256  1331200.0  61034.2     21.8 data
2003.09.22  HP_Integrity_SuperDome            64   384000.0  10527.9     36.5 data
2003.09.22  HP_Integrity_SuperDome            32   192000.0   5273.5     36.4 data
2003.09.22  HP_Integrity_SuperDome            16    96000.0   2639.1     36.4 data
2003.09.17  RackSaverRS1100                    1     3600.0    270.2     13.3 data
2003.09.11  Dell_PowerEdge400SC                1     4800.0    328.0     14.6 data
2003.09.03  SGI_Octane_270                     1      540.0     52.2     10.3 data
2003.08.25  GigabyteGA-7N400Pro                1     3666.6    171.9     21.3 data
2003.08.19  HP_AlphaServer_GS1280             64   147200.0  47216.0      3.1 data
2003.08.19  HP_AlphaServer_GS1280             32    73600.0  22576.0      3.3 data
2003.08.14  GigabyteGA-8SQ800                  1     4800.0    294.9     16.3 data
2003.08.07  DEC_PC164                          1     1000.0     15.8     63.3 data
2003.08.07  ABIT_BH6                           1      400.0     38.4     10.4 data
2003.07.14  AMD_Opteron_242                    1     3200.0    251.5     12.7 data
2003.07.07  ION_I2X2                           2    11200.0    441.9     25.3 data
2003.07.07  ION_I2X2                           1     5600.0    428.2     13.1 data
2003.05.27  IBM_eServer_p655+_4p               4    27200.0   1504.8     18.1 data
2003.05.27  IBM_eServer_p655+_4p               4    27200.0   2496.6     10.9 data
2003.05.23  IBM_eServer_p670+                 16    96000.0   4602.2     20.9 data
2003.05.23  IBM_eServer_p670+                 16    96000.0   3171.0     30.3 data
2003.05.07  Unisys_ES7000_Aries_130            8    28800.0   1953.8     14.7 data
2003.05.06  IBM_eServer_p690+                 32   217600.0   7361.4     29.6 data
2003.05.06  IBM_eServer_p690+                 32   217600.0   5133.0     42.4 data
2003.05.06  IBM_eServer_p655+_8p               8    48000.0   2467.6     19.5 data
2003.05.06  IBM_eServer_p655+_8p               8    48000.0   1886.2     25.4 data
2003.03.21  Unisys_ES7000_Aries_130           16    57600.0   1960.2     29.4 data
2003.01.23  HP_AlphaServer_GS1280              8    18400.0   6298.0      2.9 data
2003.01.23  HP_AlphaServer_GS1280              4     9200.0   3172.0      2.9 data
2003.01.23  HP_AlphaServer_GS1280              2     4600.0   1585.0      2.9 data
2003.01.23  HP_AlphaServer_GS1280             16    36800.0  12612.8      2.9 data
2003.01.23  HP_AlphaServer_GS1280              1     2300.0    793.1      2.9 data
2003.01.23  HP_AlphaServer_ES80                8    16000.0   5558.4      2.9 data
2003.01.23  HP_AlphaServer_ES80                4     8000.0   2763.1      2.9 data
2003.01.23  HP_AlphaServer_ES80                2     4000.0   1373.2      2.9 data
2003.01.23  HP_AlphaServer_ES80                1     2000.0    697.2      2.9 data
2003.01.23  HP_AlphaServer_ES47                4     8000.0   2763.1      2.9 data
2003.01.23  HP_AlphaServer_ES47                2     4000.0   1373.2      2.9 data
2003.01.23  HP_AlphaServer_ES47                1     2000.0    697.2      2.9 data
2003.01.22  IBM_eServer_p650_6M2_Linux         8    46400.0    948.5     48.9 data
